id,age,years_remain,remain_war,name
15676,32,1,1.7731184193857814,Jose Abreu
15679,24,6,7.329671473123233,Rowdy Tellez
15694,24,6,4.725414276674767,Chance Sisco
15711,24,6,13.283870745389748,Tyler O'Neill
15730,24,5,-1.5536650072845712,Tyler Wade
15766,25,6,7.506956120175689,Raudy Read
15769,26,6,10.245899539074056,Rafael Bautista
15794,25,6,5.028000750652748,Yonathan Daza
15937,28,4,4.280574005424314,Aledmys Diaz
15941,29,6,3.230846894011068,Austin Nola
15958,24,6,10.778635555584737,Travis Demeritte
15983,24,5,6.704189597511913,Clint Frazier
15986,23,6,6.914397402287705,Willy Adames
15988,23,6,5.621692407409415,Deivy Grullon
15998,23,5,23.50822628400907,Cody Bellinger
16041,27,6,5.416239713678901,Stevie Wilkerson
16041,27,6,5.416239713678901,Steve Wilkerson
16153,26,5,8.227262718644083,Austin Slater
16192,25,6,19.408067832366655,Derek Fisher
16211,26,6,6.9986644101796776,Kevin Cron
16219,26,6,9.816326881451927,J.D. Davis
16221,26,6,12.57280698087541,Bradley Zimmer
16246,26,6,12.867809369029674,AJ Reed
16246,26,6,12.867809369029674,A.J. Reed
16252,26,4,17.794954627522998,Trea Turner
16263,25,6,9.360944302061332,Sam Travis
16271,26,5,0.7881976897641474,Alex Blandino
16285,24,6,2.73438482558116,Michael Hermosillo
16291,24,6,5.500991489329521,Nick Ciuffo
16313,24,6,-0.7331827537771652,Yairo Munoz
16357,25,6,6.559636929049846,Pablo Reyes
16375,24,6,8.019698648252144,Oscar Mercado
16376,26,3,9.883583043258662,Michael Conforto
16403,23,6,10.779821073547408,Francisco Mejia
16404,23,6,5.920559678116827,Domingo Leyba
16411,23,6,4.266274811267527,Richard Urena
16424,25,6,11.809253595601131,Jordan Luplow
16426,23,6,7.461613351710061,Thairo Estrada
16429,23,6,11.508207683735492,Jason Martin
16434,24,6,0.6809005492159698,Christian Arroyo
16442,25,6,14.159119067923145,Ryan O'Hearn
16451,24,6,6.518957022059816,Luis Guillorme
16472,26,5,18.731062688325956,Rhys Hoskins
16478,26,3,9.448121523479514,Kyle Schwarber
16505,26,5,24.059798144551525,Matt Chapman
16512,24,5,9.149735404110343,Isiah Kiner-Falefa
16524,27,6,5.927523305726202,Ryan McBroom
16530,24,6,5.2274882415545845,Mauricio Dubon
16535,24,6,15.824125210365585,Danny Jansen
16542,23,6,15.593492815603858,Shed Long Jr.
16542,23,6,15.593492815603858,Shed Long
16556,22,5,21.730792991742735,Ozzie Albies
16565,26,6,3.6640288402674663,Mark Zagunis
16572,26,6,5.895965695287634,Connor Joe
16578,27,6,13.876415048008756,Yandy Diaz
16622,22,6,22.47240024926465,Luis Urias
16623,26,6,-0.296192201670079,Greg Allen
